,avg_profit1,run_n,k,F
23,310.9,8,4,1.1
617,347.3,8,4,1.3
271,721.8,8,4,1.5
162,228.6,8,4,1.7
573,386.6,8,4,2.0
405,98.3,8,8,0.0
786,307.9,8,8,0.2
136,312.9,8,8,0.4
787,262.4,8,8,0.6
170,246.0,8,8,0.8
448,244.0,8,8,1.1
569,556.4,8,8,1.3
335,423.4,8,8,1.5
709,423.5,8,8,1.7
153,483.1,8,8,2.0
741,252.9,8,16,0.0
190,295.6,8,16,0.2
757,436.8,8,16,0.4
839,120.5,8,16,0.6
661,295.7,8,16,0.8
257,190.7,8,16,1.1
826,251.7,8,16,1.3
463,278.2,8,16,1.5
829,23.8,8,16,1.7
97,572.1,8,16,2.0
360,40.9,8,32,0.0
311,428.6,8,32,0.2
290,615.8,8,32,0.4
694,236.6,8,32,0.6
769,215.0,8,32,0.8
862,234.0,8,32,1.1
794,607.8,8,32,1.3
334,414.9,8,32,1.5
684,372.9,8,32,1.7
143,497.9,8,32,2.0
602,144.5,8,64,0.0
875,499.4,8,64,0.2
899,556.5,8,64,0.4
174,909.8,8,64,0.6
90,258.2,8,64,0.8
716,407.7,8,64,1.1
264,328.5,8,64,1.3
672,291.7,8,64,1.5
367,267.5,8,64,1.7
808,19.2,8,64,2.0
91,385.3,8,128,0.0
169,421.3,8,128,0.2
599,193.4,8,128,0.4
791,211.9,8,128,0.6
175,246.6,8,128,0.8
838,20.9,8,128,1.1
669,481.7,8,128,1.3
710,481.3,8,128,1.5
328,291.3,8,128,1.7
658,256.8,8,128,2.0
216,284.7,8,256,0.0
651,74.2,8,256,0.2
22,360.8,8,256,0.4
28,318.8,8,256,0.6
198,215.8,8,256,0.8
491,350.9,8,256,1.1
346,383.9,8,256,1.3
18,56.0,8,256,1.5
482,253.6,8,256,1.7
547,598.8,8,256,2.0
487,662.2,8,512,0.0
222,270.9,8,512,0.2
220,69.4,8,512,0.4
481,457.1,8,512,0.6
891,222.6,8,512,0.8
884,174.1,8,512,1.1
147,355.1,8,512,1.3
744,222.2,8,512,1.5
42,214.5,8,512,1.7
845,110.1,8,512,2.0
339,68.3,8,1024,0.0
391,103.7,8,1024,0.2
247,541.4,8,1024,0.4
149,479.7,8,1024,0.6
353,295.8,8,1024,0.8
262,493.0,8,1024,1.1
100,112.5,8,1024,1.3
536,169.9,8,1024,1.5
34,565.0,8,1024,1.7
531,248.1,8,1024,2.0
279,550.9,9,4,0.0
525,324.9,9,4,0.2
180,316.2,9,4,0.4
860,617.5,9,4,0.6
576,135.5,9,4,0.8
685,211.8,9,4,1.1
460,427.0,9,4,1.3
496,425.3,9,4,1.5
51,88.0,9,4,1.7
2,389.9,9,4,2.0
847,458.3,9,8,0.0
793,414.3,9,8,0.2
856,558.2,9,8,0.4
47,278.0,9,8,0.6
532,204.9,9,8,0.8
98,529.9,9,8,1.1
103,311.5,9,8,1.3
830,257.0,9,8,1.5
272,473.7,9,8,1.7
464,314.3,9,8,2.0
343,480.5,9,16,0.0
138,279.1,9,16,0.2
139,257.8,9,16,0.4
99,352.6,9,16,0.6
278,338.3,9,16,0.8
557,586.6,9,16,1.1
65,532.1,9,16,1.3
315,213.6,9,16,1.5
392,293.4,9,16,1.7
889,251.3,9,16,2.0
416,210.0,9,32,0.0
326,100.3,9,32,0.2
244,440.7,9,32,0.4
210,184.7,9,32,0.6
15,222.2,9,32,0.8
399,436.1,9,32,1.1
620,273.9,9,32,1.3
797,122.3,9,32,1.5
478,477.7,9,32,1.7
814,237.1,9,32,2.0
774,720.9,9,64,0.0
552,607.9,9,64,0.2
191,686.5,9,64,0.4
677,730.9,9,64,0.6
500,146.6,9,64,0.8
724,66.7,9,64,1.1
648,5.2,9,64,1.3
717,474.7,9,64,1.5
530,442.6,9,64,1.7
182,431.4,9,64,2.0
179,291.8,9,128,0.0
275,472.2,9,128,0.2
601,236.3,9,128,0.4
546,387.1,9,128,0.6
55,335.4,9,128,0.8
268,189.8,9,128,1.1
735,209.8,9,128,1.3
189,233.3,9,128,1.5
750,229.4,9,128,1.7
628,299.6,9,128,2.0
458,232.9,9,256,0.0
249,59.7,9,256,0.2
687,642.0,9,256,0.4
689,246.2,9,256,0.6
123,95.7,9,256,0.8
62,161.1,9,256,1.1
68,147.2,9,256,1.3
228,691.0,9,256,1.5
799,453.3,9,256,1.7
673,422.5,9,256,2.0
676,111.9,9,512,0.0
461,152.9,9,512,0.2
725,463.5,9,512,0.4
215,274.8,9,512,0.6
426,265.9,9,512,0.8
848,150.7,9,512,1.1
752,615.9,9,512,1.3
809,463.9,9,512,1.5
564,321.5,9,512,1.7
784,98.9,9,512,2.0
885,252.0,9,1024,0.0
591,214.8,9,1024,0.2
113,410.0,9,1024,0.4
340,199.2,9,1024,0.6
850,98.2,9,1024,0.8
255,159.4,9,1024,1.1
59,417.0,9,1024,1.3
511,177.2,9,1024,1.5
662,361.9,9,1024,1.7
234,184.3,9,1024,2.0
